State,County,PercentSmokers,PercentObese,PercentLimAccesstoHealthyFood,PercentObese,PercentPhysicallyInactive,PercentUnder18YO,Percent65YOAndOver,PercentNonHispanicWhite,PercentFemale,PercentRural,PCPRate,PercentUnemployment,PreventableHospitalStayRate,NumberofHospitals,Population,PeopleServedPerHospital
Tennessee,McMinn,25,31,5,31,35,21.3,19.5,89.6,51.2,60.3,51,4.3,4549,0,52877,0
Tennessee,McNairy,26,32,5,32,31,22.1,20.3,89.9,50.7,85.3,35,5.6,5882,0,26004,0
Tennessee,Macon,22,34,2,34,35,24.8,15.4,92.2,51.5,79.6,17,3.4,11340,1,24079,24079
Tennessee,Madison,19,36,11,36,27,22.5,16.6,56.7,52.7,25.8,133,3.9,5440,4,97643,24410.75
Tennessee,Marion,22,32,4,32,30,21.3,19.5,92.0,51.1,77,60,4.8,3706,1,28425,28425
Tennessee,Marshall,20,32,8,32,28,23.4,15.9,85.6,50.8,65.8,13,3.3,3919,1,32931,32931
Tennessee,Maury,21,33,7,33,30,23.5,15.5,79.8,51.8,41.6,57,3.2,4261,2,92163,46081.5
Tennessee,Meigs,23,33,1,33,33,20.9,20.7,94.3,50.3,100,42,5.2,4130,1,12068,12068
Tennessee,Monroe,23,34,2,34,31,21.6,20.7,91.1,50.3,76.1,20,4,4833,1,46240,46240
Tennessee,Montgomery,21,33,12,33,25,26.9,9.1,64.3,50.1,19.7,43,4.1,4874,3,200182,66727.33333
Tennessee,Moore,19,31,14,31,28,19.3,21.2,93.5,50.1,99.9,NA,3.1,5433,0,6384,0
Tennessee,Morgan,26,33,8,33,32,19.5,17.4,93.3,45.3,99.9,5,4.9,5989,0,21636,0
Tennessee,Obion,23,35,5,35,35,21.9,20.1,83.4,51.6,61.6,49,5.5,6585,1,30385,30385
Tennessee,Overton,24,36,0,36,31,21.6,20.2,96.0,50.7,84.2,36,4.1,7077,1,22012,22012
Tennessee,Perry,24,29,13,29,28,21.8,21.2,92.3,49.5,100,25,4.8,13179,1,7975,7975
Tennessee,Pickett,20,31,0,31,33,18,27.3,97.3,50.1,100,19,4.4,9106,0,5073,0
Tennessee,Polk,22,33,0,33,31,19.8,20.7,95.4,50.5,100,54,4.6,6093,0,16757,0
Tennessee,Putnam,22,29,9,29,23,21.2,16.4,88.8,50.2,35,66,3.7,5604,2,77674,38837
Tennessee,Rhea,24,32,5,32,33,22.7,18.5,90.6,50.5,68,34,6.4,6191,1,32691,32691
Tennessee,Roane,21,35,9,35,24,19,22.5,93.0,51.2,51,36,4.4,5907,1,53036,53036
Tennessee,Robertson,19,32,2,32,30,24.3,14.4,84.0,50.7,53.2,35,3.4,5220,1,70177,70177
Tennessee,Rutherford,20,33,8,33,25,24.7,10.1,72.7,50.7,17,42,2.9,6148,4,317157,79289.25
Tennessee,Scott,25,32,2,32,32,24.4,16.4,97.4,50.7,80.6,46,5.1,8060,1,21989,21989
Tennessee,Sequatchie,20,34,0,34,26,21.1,19.9,94.1,50.6,73.8,27,4.9,4038,0,14736,0
Tennessee,Sevier,21,39,5,39,32,20.8,19.2,90.7,51,56.6,35,4,4657,1,97638,97638
Tennessee,Shelby,21,35,11,35,24,25,13.1,36.9,52.4,2.8,83,4.3,4886,21,936961,44617.19048
Tennessee,Smith,21,32,1,32,26,23,16.6,93.3,50.3,82.9,41,3.5,7028,1,19636,19636
Tennessee,Stewart,21,33,1,33,29,20.8,19.9,92.1,50,100,8,5.3,4793,0,13355,0
Tennessee,Sullivan,22,33,13,33,28,19.5,21.5,93.6,51.4,25.6,128,4,5114,6,157158,26193
Tennessee,Sumner,19,34,7,34,30,23.8,15.4,85.3,51.1,27.9,52,3,6442,2,183545,91772.5
Tennessee,Tipton,20,36,6,36,32,24.9,14.1,75.9,50.7,55.1,34,4.4,5649,1,61366,61366
Tennessee,Trousdale,21,31,,31,26,19.1,13.8,85.4,43.5,100,24,3.5,11255,1,10083,10083
Tennessee,Unicoi,22,34,6,34,27,18.8,22.9,93.8,50.8,44.7,40,5.4,6039,1,17759,17759
Tennessee,Union,23,36,1,36,30,22,18,96.4,50.6,100,16,4.4,4809,0,19442,0
Tennessee,Van Buren,22,33,0,33,33,19.4,23.2,96.2,49.6,100,NA,4.3,6016,0,5742,0
Tennessee,Warren,23,35,4,35,27,23.7,17.4,86.0,50.7,61.4,47,3.9,5682,1,40651,40651
Tennessee,Washington,21,30,8,30,27,19.2,17.9,89.1,51.1,26.4,169,3.8,5390,4,127806,31951.5
Tennessee,Wayne,25,33,9,33,38,17.3,19.1,90.1,44.9,100,30,5.2,6189,1,16583,16583
Tennessee,Weakley,21,35,7,35,32,19.5,18.3,86.9,51.1,67,57,4.9,5470,3,33337,11112.33333
Tennessee,White,21,31,5,31,29,21.8,20.1,93.7,51.1,78.2,34,4,4802,1,26753,26753
Tennessee,Williamson,15,25,3,25,20,27.5,12.8,85.4,51.1,19.4,149,2.7,3173,3,226257,75419
Tennessee,Wilson,19,38,4,38,24,23.9,15.4,85.8,50.9,38.5,32,2.9,5357,1,136442,136442
